Введите запрос,Ответ модели,timestamp
"Привет
",Ошибка при обращении к API: Expecting value: line 1 column 1 (char 0),2025-05-18 18:18:32.559734
"привет 
",Ошибка при обращении к API: 'response',2025-05-29 05:56:16.082413
